id,make,model,model_year,kilometers,transmission_type,price,priced_at,mileage_category,extra_features_count,model_age,price_moving_avg,competitor_price_diff,popularity,price_change_pct,dt_year,dt_month,dt_day,dt_quarter
5869,Nissan,Juke,2013,179999.0,Automatic,195000,2022-02-15,150k-200k,26,9,210600,-64748.768472906406,0.31,-0.05797101449275366,2022,2,15,1
2446,Nissan,Juke,2013,99999.0,Automatic,216000,2022-02-19,50k-100k,14,9,210400,-43748.768472906406,0.31,0.10769230769230775,2022,2,19,1
2447,Nissan,Juke,2013,89999.0,Automatic,210000,2022-02-19,50k-100k,24,9,208600,-49748.768472906406,0.31,-0.02777777777777779,2022,2,19,1
2448,Nissan,Juke,2013,59999.0,Automatic,229000,2022-02-19,50k-100k,26,9,207200,-30748.768472906406,0.31,0.09047619047619038,2022,2,19,1
8281,Nissan,Juke,2013,159999.0,Automatic,216000,2022-02-24,150k-200k,23,9,211400,-43748.768472906406,0.31,-0.05676855895196509,2022,2,24,1
8308,Nissan,Juke,2013,19999.0,Automatic,200000,2022-02-24,0-50k,14,9,213200,-59748.768472906406,0.31,-0.07407407407407407,2022,2,24,1
8311,Nissan,Juke,2013,99999.0,Automatic,202000,2022-02-24,50k-100k,21,9,214200,-57748.768472906406,0.31,0.010000000000000009,2022,2,24,1
8312,Nissan,Juke,2013,19999.0,Automatic,195000,2022-02-24,0-50k,26,9,211400,-64748.768472906406,0.31,-0.034653465346534684,2022,2,24,1
9792,Nissan,Juke,2013,159999.0,Automatic,203000,2022-02-25,150k-200k,16,9,208400,-56748.768472906406,0.31,0.0410256410256411,2022,2,25,1
9793,Nissan,Juke,2013,179999.0,Automatic,189000,2022-02-25,150k-200k,14,9,203200,-70748.7684729064,0.31,-0.06896551724137934,2022,2,25,1
9829,Nissan,Juke,2013,99999.0,Automatic,206000,2022-02-25,50k-100k,26,9,197800,-53748.768472906406,0.31,0.08994708994709,2022,2,25,1
7365,Nissan,Juke,2013,89999.0,Automatic,197000,2022-03-02,50k-100k,26,9,199000,-62748.768472906406,0.31,-0.043689320388349495,2022,3,2,1
19720,Nissan,Juke,2013,99999.0,Automatic,194000,2022-03-07,50k-100k,17,9,198000,-65748.7684729064,0.31,-0.015228426395939132,2022,3,7,1
19807,Nissan,Juke,2013,89999.0,Automatic,220000,2022-03-07,50k-100k,26,9,197800,-39748.768472906406,0.31,0.134020618556701,2022,3,7,1
11855,Nissan,Juke,2013,179999.0,Automatic,182000,2022-03-09,150k-200k,17,9,201200,-77748.7684729064,0.31,-0.17272727272727273,2022,3,9,1
11856,Nissan,Juke,2013,89999.0,Automatic,225000,2022-03-09,50k-100k,14,9,199800,-34748.768472906406,0.31,0.2362637362637363,2022,3,9,1
